Test ID,AC Reference,Module,Test Type,Category,Priority,Test Scenario,Preconditions,Test Steps,Expected Result,Automation Mapping,Sanity/Regression
TC-UI-001,AC1,Registration,Functional,Positive,High,Register new user with valid details,User is on registration page,1. Navigate to /auth/register 2. Fill all mandatory fields with valid data 3. Submit registration form,User is registered successfully and redirected to login or shown success message,tests/UI Test/userRegistrationLogin.spec.js,Sanity
TC-UI-002,AC1,Login,Functional,Positive,High,Login with registered credentials,User is registered,1. Navigate to /auth/login 2. Enter registered email and password 3. Click Login,User is logged in and profile menu is visible,tests/UI Test/userRegistrationLogin.spec.js,Sanity
TC-UI-003,AC1,Profile,Functional,Positive,High,Verify profile information after login,User is logged in,1. Open profile menu 2. Navigate to profile page 3. Verify first name last name and email,Profile fields display registered user details,tests/UI Test/userRegistrationLogin.spec.js,Sanity
TC-UI-004,AC1,Registration,Functional,Negative,Medium,Register with invalid email format,User is on registration page,1. Enter invalid email format 2. Submit form,Validation error is displayed for email field,Manual only,Regression
TC-UI-005,AC1,Login,Functional,Negative,Medium,Login with incorrect password,User is registered,1. Enter valid email and wrong password 2. Click Login,Error message indicates invalid credentials,tests/UI Test/userRegistrationLogin.spec.js,Regression
TC-UI-006,AC2,Products,Functional,Positive,High,Browse products on home page,User is logged in,1. Navigate to home page 2. Verify product cards are displayed,Multiple products are visible with name and price,tests/UI Test/endToEndPurchaseFlow.spec.js,Regression
TC-UI-007,AC2,Cart,Functional,Positive,High,Add multiple products to cart,User is logged in,1. Add at least two different products to cart 2. Open cart page,Cart contains multiple items,tests/UI Test/endToEndPurchaseFlow.spec.js,Regression
TC-UI-008,AC2,Cart,Functional,Positive,High,Update product quantity in cart,Cart has items,1. Change quantity for a cart item 2. Verify updated quantity,Cart reflects updated quantity,tests/UI Test/endToEndPurchaseFlow.spec.js,Regression
TC-UI-009,AC2,Checkout,Functional,Positive,High,Complete checkout with Cash on Delivery,User has items in cart,1. Proceed to checkout 2. Fill billing details 3. Select Cash on Delivery 4. Confirm order twice,Order is placed successfully,tests/UI Test/endToEndPurchaseFlow.spec.js,Regression
TC-UI-010,AC2,Invoices,Functional,Positive,High,View generated invoice under My Invoices,Order completed successfully,1. Open My Invoices 2. Open latest invoice,Invoice details are displayed,tests/UI Test/endToEndPurchaseFlow.spec.js,Regression
TC-UI-011,AC2,Checkout,Functional,Negative,Medium,Checkout with empty billing fields,User is on checkout page,1. Leave mandatory billing fields empty 2. Attempt to confirm,Validation errors are shown,Manual only,Regression
TC-UI-012,AC2,Cart,Functional,Edge,Low,Add same product multiple times,User is logged in,1. Add same product twice 2. Verify cart behavior,Cart handles duplicate product according to app rules,Manual only,Regression
TC-API-001,API AC1,Auth,API,Positive,High,Register user via API,Valid API base URL configured,1. POST /users/register with valid payload,201 Created returned,tests/API Test/userAuthCartCreation.spec.js,Sanity
TC-API-002,API AC1,Auth,API,Positive,High,Login and obtain bearer token,User registered via API,1. POST /users/login with credentials,200 OK with access_token,tests/API Test/userAuthCartCreation.spec.js,Sanity
TC-API-003,API AC1,Cart,API,Positive,High,Create cart with bearer token,Valid access token available,1. POST /carts with Authorization header,201 Created with cart id,tests/API Test/userAuthCartCreation.spec.js,Sanity
TC-API-004,API AC1,Auth,API,Negative,Medium,Login with invalid credentials,None,1. POST /users/login with wrong password,401 or 422 error returned,tests/API Test/userAuthCartCreation.spec.js,Regression
TC-API-005,API AC2,Products,API,Positive,High,Retrieve product list,Valid bearer token,1. GET /products with Authorization header,200 OK with product list,tests/API Test/productInvoiceGeneration.spec.js,Regression
TC-API-006,API AC2,Cart,API,Positive,High,Add product to cart,Cart and product id available,1. POST /carts/{cartId} with product_id and quantity,Product added to cart successfully,tests/API Test/productInvoiceGeneration.spec.js,Regression
TC-API-007,API AC2,Cart,API,Positive,High,Verify cart contents,Items added to cart,1. GET /carts/{cartId},Cart items and quantities match request,tests/API Test/productInvoiceGeneration.spec.js,Regression
TC-API-008,API AC2,Invoice,API,Positive,High,Generate invoice with COD payment,Cart has items,1. POST /invoices with billing details and cart_id,Invoice created with cash-on-delivery,tests/API Test/productInvoiceGeneration.spec.js,Regression
TC-API-009,API AC2,Invoice,API,Negative,Medium,Generate invoice with invalid cart id,Valid bearer token,1. POST /invoices with invalid cart_id,4xx error returned,tests/API Test/productInvoiceGeneration.spec.js,Regression
TC-NFR-001,General,Performance,Non-Functional,Positive,Medium,Home page loads within acceptable time,Browser open,1. Navigate to home page 2. Measure page load time,Page loads within 5 seconds,Manual only,Regression
TC-NFR-002,General,Security,Non-Functional,Positive,High,Password field masked on login page,User on login page,1. Navigate to /auth/login 2. Enter password,Password characters are masked/hidden,Manual only,Regression
TC-NFR-003,General,Usability,Non-Functional,Positive,Low,Responsive layout on mobile viewport,Browser open,1. Resize to 375px width 2. Verify navigation and product cards,UI elements remain accessible and readable,Manual only,Regression
TC-UI-013,AC2,Products,Functional,Positive,Medium,Search products by keyword,User is on home page,1. Enter product name in search field 2. Click Search 3. Verify matching products displayed,Product list filtered to show matching results,Manual only,Regression
TC-API-010,API AC2,Products,API,Positive,Medium,Search products via API query,Valid bearer token,1. GET /products?search={keyword} with Authorization header,200 OK with filtered product list,Manual only,Regression
